"Horizon_days","DA","Comparison","Mixed_pvalue","Stratified_pvalue"
1,"daily","1 - 5",0.120888215020603,3.73847942183449e-13
1,"daily","1 - 9",0.139161054137007,3.78424797961256e-18
1,"daily","5 - 9",0.991557514723098,7.91696213431477e-56
1,"weekly","1 - 5",0.831851293778238,1.61360307153012e-13
1,"weekly","1 - 9",1,1.71735893367017e-16
1,"weekly","5 - 9",1,1.236294154831e-53
1,"fortnightly","1 - 5",1,1.09733114972633e-09
1,"fortnightly","1 - 9",0.866136469587324,1.18712618211564e-16
1,"fortnightly","5 - 9",1,1.15052430284704e-45
1,"monthly","1 - 5",0.721637645392133,1.70531640111733e-13
1,"monthly","1 - 9",0.569719417850089,1.04864698700943e-16
1,"monthly","5 - 9",1,5.67763520884255e-54
7,"daily","1 - 5",1,0.215507810532051
7,"daily","1 - 9",0.960323629498594,1.41389895196184e-51
7,"daily","5 - 9",0.896305619124785,5.51556536647932e-43
7,"weekly","1 - 5",1,0.000169988041742794
7,"weekly","1 - 9",0.872899265570793,2.91931272428837e-31
7,"weekly","5 - 9",0.937491691630436,2.68647331195683e-52
7,"fortnightly","1 - 5",1,1.43836221327986e-06
7,"fortnightly","1 - 9",0.745850026593141,5.42264007090501e-26
7,"fortnightly","5 - 9",1,3.57163289496382e-52
7,"monthly","1 - 5",1,4.96965106801362e-05
7,"monthly","1 - 9",0.901660803732413,3.0632569310398e-27
7,"monthly","5 - 9",1,6.06986794413934e-49
35,"daily","1 - 5",0.0100460574704377,6.56377932300091e-18
35,"daily","1 - 9",1.93697861501466e-07,1.39050479722112e-21
35,"daily","5 - 9",0.0276775526097181,0.316506987081233
35,"weekly","1 - 5",0.0143366275694579,0.111295569126084
35,"weekly","1 - 9",5.36065443900289e-08,5.5409701900974e-31
35,"weekly","5 - 9",0.0115894920878649,1.29170082269947e-23
35,"fortnightly","1 - 5",0.0312859365378162,0.00561569627443171
35,"fortnightly","1 - 9",8.87293947590507e-07,2.49929004730115e-37
35,"fortnightly","5 - 9",0.0193038187206854,1.12781623962517e-23
35,"monthly","1 - 5",0.0323944179479879,0.0692747899994372
35,"monthly","1 - 9",6.45444617321889e-06,8.53349934071963e-32
35,"monthly","5 - 9",0.0472214766698607,2.49600828364373e-23
